,,,,,,,,,,,,,,,,,,,,Ethnicity (Applied),Ethnicity (Applied),Ethnicity (Applied),Ethnicity (Applied),Ethnicity (Applied),Ethnicity (Applied),Ethnicity (Applied),Ethnicity (Admitted),Ethnicity (Admitted),Ethnicity (Admitted),Ethnicity (Admitted),Ethnicity (Admitted),Ethnicity (Admitted),Ethnicity (Admitted),GPA (Applied),GPA (Applied),GPA (Applied),GPA (Applied),GPA (Applied),GPA (Applied),GPA (Admitted),GPA (Admitted),GPA (Admitted),GPA (Admitted),GPA (Admitted),GPA (Admitted),Gender (Applied),Gender (Applied),Gender (Admitted),Gender (Admitted)
UC,Year,Ethnicity,EthApp, EthAdm,,UC ,Year,GPA Range,GPAApp%,GPAAdm,,UC,Year,Gender,GApp,GAdm%,,College,Year,Other/Unknown,International,White,Asian/Pacific Islander,American Indian,African American,Hispanic/Latinx,Other/Unknown,International,White,Asian/Pacific Islander,American Indian,African American,Hispanic/Latinx,Unknown/ Missing,4.20 and Above,3.80 - 4.19,3.40 - 3.79,3.00 - 3.39,0.00 - 2.99,Unknown/ Missing,4.20 and Above,3.80 - 4.19,3.40 - 3.79,3.00 - 3.39,0.00 - 2.99,Male,Female,Male,Female
Berkeley,2019,White,"18,013","3,223",,Berkeley,1994,0.00 - 2.99,6.16%,91,,Berkeley,2019,Male,"41,762",48.61%,,UC Berkeley,2019,"2,655","17,035","18,013","29,116",338,"4,364","15,877",661,"1,543","3,223","5,978",82,508,"2,282","6,672","24,290","35,933","13,911","4,923","1,669",677,"9,136","4,150",238,58,18,"41,762","44,900","5,879","8,258"
Berkeley,2019,Other/Unknown,"2,655",661,,Berkeley,1995,0.00 - 2.99,5.84%,116,,Berkeley,2019,Female,"44,900",49.46%,,UC Berkeley,2018,"3,046","17,064","18,911","29,170",382,"4,743","16,293",697,"1,453","3,115","5,378",52,523,"2,083","6,673","23,520","36,692","15,246","5,526","1,952",636,"8,616","3,779",206,49,15,"42,623","46,057","5,392","7,716"
Berkeley,2019,International,"17,035","1,543",,Berkeley,1996,0.00 - 2.99,5.47%,111,,Berkeley,2018,Male,"42,623",50.91%,,UC Berkeley,2017,"2,643","15,434","20,053","26,166",427,"4,439","15,883",706,"1,299","3,947","5,895",92,493,"2,117","6,711","21,604","34,248","15,020","5,599","1,863",666,"9,224","4,307",270,60,22,"40,850","43,447","6,139","8,225"
Berkeley,2019,Hispanic/Latinx,"15,877","2,282",,Berkeley,1997,0.00 - 2.99,4.59%,72,,Berkeley,2018,Female,"46,057",51.09%,,UC Berkeley,2016,"2,728","15,633","19,905","24,928",422,"4,220","14,724",758,"1,128","3,827","5,787",77,464,"1,934","6,555","20,057","33,364","15,202","5,504","1,878",538,"8,491","4,538",320,71,17,"40,455","41,514","6,049","7,766"
Berkeley,2019,Asian/Pacific Islander,"29,116","5,978",,Berkeley,1998,0.00 - 2.99,4.36%,60,,Berkeley,2017,Male,"40,850",50.90%,,UC Berkeley,2015,"2,494","15,027","18,781","24,365",417,"3,944","13,865",658,"1,409","3,496","5,383",75,429,"1,870","6,669","17,974","31,337","15,182","5,806","1,925",677,"8,328","3,885",330,79,21,"39,121","39,450","6,018","7,238"
Berkeley,2019,American Indian,338,82,,Berkeley,1999,0.00 - 2.99,4.09%,48,,Berkeley,2017,Female,"43,447",53.21%,,UC Berkeley,2014,"2,066","13,719","17,795","23,099",444,"3,540","13,122",509,"1,509","3,179","4,579",90,339,"1,615","5,829","16,360","29,372","14,702","5,682","1,840",677,"7,032","3,591",397,85,38,"36,780","36,733","5,356","6,408"
Berkeley,2019,African American,"4,364",508,,Berkeley,2000,0.00 - 2.99,4.15%,23,,Berkeley,2016,Male,"40,455",54.47%,,UC Berkeley,2013,"2,059","11,601","16,859","21,157",328,"3,381","12,321",497,"1,789","3,256","4,537",60,363,"1,428","4,939","14,258","26,661","14,315","5,549","1,984",717,"6,999","3,688",395,93,38,"33,531","33,933","5,552","6,311"
Berkeley,2018,White,"18,911","3,115",,Berkeley,2001,0.00 - 2.99,4.58%,33,,Berkeley,2016,Female,"41,514",56.22%,,UC Berkeley,2012,"1,708","9,434","15,406","20,555",368,"3,129","11,117",433,"1,262","3,001","4,461",76,365,"1,510","3,435","11,758","25,147","13,807","5,448","2,122",452,"6,304","3,755",444,99,54,"30,663","31,002","5,223","5,875"
Berkeley,2018,Other/Unknown,"3,046",697,,Berkeley,2002,0.00 - 2.99,4.72%,39,,Berkeley,2015,Male,"39,121",55.40%,,UC Berkeley,2011,"1,279","6,330","14,604","18,365",330,"2,647","9,427",369,"1,454","3,299","4,500",77,354,"1,399","2,215","10,169","21,914","12,153","4,777","1,754",413,"5,976","4,384",505,116,58,"25,818","27,139","5,329","6,116"
Berkeley,2018,International,"17,064","1,453",,Berkeley,2003,0.00 - 2.99,4.49%,42,,Berkeley,2015,Female,"39,450",56.12%,,UC Berkeley,2010,"2,721","4,929","14,170","17,332",352,"2,661","8,209",725,"1,154","3,287","3,995",80,337,"1,217","1,582","9,789","20,740","11,779","4,807","1,677",299,"5,991","3,950",410,92,53,"24,420","25,901","4,898","5,881"
Berkeley,2018,Hispanic/Latinx,"16,293","2,282",,Berkeley,2004,0.00 - 2.99,3.83%,45,,Berkeley,2014,Male,"36,780",54.99%,,UC Berkeley,2009,"2,670","4,383","14,547","16,697",270,"2,318","7,797",732,760,"3,318","4,036",49,334,"1,299","1,463","9,854","19,753","11,333","4,554","1,725",161,"6,044","3,813",348,112,50,"23,101","25,554","4,730","5,796"
Berkeley,2018,Asian/Pacific Islander,"29,170","5,378",,Berkeley,2005,0.00 - 2.99,3.71%,48,,Berkeley,2014,Female,"36,733",55.51%,,UC Berkeley,2008,"3,267","3,317","15,045","16,702",246,"2,243","7,653",880,750,"3,288","3,895",46,319,"1,227","1,441","9,786","18,867","11,725","4,931","1,723",305,"5,992","3,577",375,97,59,"23,111","25,328","4,703","5,694"
Berkeley,2018,American Indian,382,52,,Berkeley,2006,0.00 - 2.99,3.52%,46,,Berkeley,2013,Male,"33,531",55.74%,,UC Berkeley,2007,"2,805","2,606","14,040","15,996",233,"2,023","6,446",786,322,"3,413","4,103",59,322,"1,247","1,208","8,905","17,686","10,524","4,337","1,489",147,"5,850","3,705",404,100,46,"21,027","23,096","4,579","5,668"
Berkeley,2018,African American,"4,743",523,,Berkeley,2007,0.00 - 2.99,3.37%,46,,Berkeley,2013,Female,"33,933",55.32%,,UC Berkeley,2006,"2,862","2,189","13,053","15,660",251,"1,863","5,918",806,284,"3,188","4,080",58,324,"1,201","1,145","8,224","16,584","10,162","4,207","1,474",171,"5,652","3,649",345,78,46,"19,732","22,048","4,403","5,536"
Berkeley,2017,White,"20,053","3,947",,Berkeley,2008,0.00 - 2.99,3.54%,59,,Berkeley,2012,Male,"30,663",54.77%,,UC Berkeley,2005,"2,671","1,896","12,089","13,607",191,"1,578","4,982",788,276,"3,379","3,888",53,304,"1,141","1,193","7,295","14,344","8,972","3,836","1,374",178,"5,437","3,683",391,92,48,"17,698","19,288","4,371","5,453"
Berkeley,2017,Other/Unknown,"2,643",706,,Berkeley,2009,0.00 - 2.99,3.54%,50,,Berkeley,2012,Female,"31,002",55.06%,,UC Berkeley,2004,"3,284","1,524","11,617","13,813",185,"1,558","4,853",869,193,"3,163","3,584",41,239,966,"1,262","6,624","14,281","9,240","4,020","1,407",194,"4,800","3,532",355,129,45,"17,489","19,319","4,075","4,976"
Berkeley,2017,International,"15,434","1,299",,Berkeley,2010,0.00 - 2.99,3.33%,53,,Berkeley,2011,Male,"25,818",54.56%,,UC Berkeley,2003,"3,568","1,746","11,651","13,462",198,"1,723","4,653",916,261,"2,853","3,397",51,328,"1,042","1,119","6,561","14,083","9,258","4,319","1,661",149,"4,655","3,541",359,102,42,"17,722","19,245","3,881","4,964"
Berkeley,2017,Hispanic/Latinx,"15,883","2,117",,Berkeley,2011,0.00 - 2.99,3.31%,58,,Berkeley,2011,Female,"27,139",53.44%,,UC Berkeley,2002,"3,165","1,635","11,835","13,770",200,"1,558","4,282",823,183,"2,900","3,396",46,331,"1,029","1,214","6,642","13,803","8,966","4,098","1,722",223,"4,432","3,462",438,114,39,"17,569","18,822","3,879","4,816"
Berkeley,2017,Asian/Pacific Islander,"26,166","5,895",,Berkeley,2012,0.00 - 2.99,3.44%,54,,Berkeley,2010,Male,"24,420",52.94%,,UC Berkeley,2001,"3,467","2,039","11,515","13,551",207,"1,458","3,990",974,182,"2,994","3,452",57,341,"1,028","1,808","6,328","13,509","8,885","4,036","1,661",410,"4,241","3,567",653,124,33,"17,606","18,569","3,946","5,070"
Berkeley,2017,American Indian,427,92,,Berkeley,2013,0.00 - 2.99,2.93%,38,,Berkeley,2010,Female,"25,901",53.21%,,UC Berkeley,2000,"3,268","1,695","10,989","12,469",173,"1,318","3,439",987,228,"3,015","3,361",48,353,914,"1,350","6,253","12,340","8,183","3,837","1,388",352,"4,252","3,501",645,133,23,"16,582","16,715","4,045","4,842"
Berkeley,2017,African American,"4,439",493,,Berkeley,2014,0.00 - 2.99,2.49%,38,,Berkeley,2009,Male,"23,101",54.48%,,UC Davis,2019,"1,959","16,522","14,360","24,024",277,"3,425","17,526",842,"6,888","6,225","9,717",120,962,"5,604","5,347","13,561","30,166","18,229","8,155","2,635","2,337","11,753","14,330","1,685",199,54,"35,351","42,324","11,992","18,228"
Berkeley,2016,White,"19,905","3,827",,Berkeley,2015,0.00 - 2.99,2.44%,21,,Berkeley,2009,Female,"25,554",54.59%,,UC Davis,2018,"2,208","15,507","14,797","23,902",334,"3,535","17,741",966,"8,646","6,335","9,378",134,971,"5,616","5,224","12,368","29,304","19,031","9,094","3,003","2,984","10,981","15,093","2,616",318,54,"34,842","42,660","12,413","19,437"
Berkeley,2016,Other/Unknown,"2,728",758,,Berkeley,2016,0.00 - 2.99,2.27%,17,,Berkeley,2008,Male,"23,111",56.21%,,UC Davis,2017,"1,824","13,926","14,399","21,262",332,"3,240","15,972",863,"8,295","6,417","8,915",143,895,"5,234","5,654","10,654","25,643","17,667","8,449","2,888","3,329","9,623","14,484","2,925",349,52,"31,933","38,652","12,356","18,268"
Berkeley,2016,International,"15,633","1,128",,Berkeley,2017,0.00 - 2.99,2.19%,22,,Berkeley,2008,Female,"25,328",57.26%,,UC Davis,2016,"1,865","13,536","14,295","20,503",313,"3,162","14,876",911,"6,680","6,647","8,847",133,861,"4,902","5,165","9,949","24,508","17,614","8,523","2,791","2,630","9,020","14,199","2,718",351,63,"31,184","37,234","11,320","17,618"
Berkeley,2016,Hispanic/Latinx,"14,724",15.64%,,Berkeley,2018,0.00 - 2.99,2.18%,15,,Berkeley,2007,Male,"21,027",58.85%,,UC Davis,2015,"1,880","11,240","14,005","20,666",319,"2,817","13,675",764,"5,666","5,632","7,864",123,657,"3,812","4,561","9,118","22,912","16,955","8,329","2,727","2,432","8,083","11,810","1,924",227,42,"29,564","35,031","9,838","14,678"
Berkeley,2016,Asian/Pacific Islander,"24,928",15.98%,,Berkeley,2019,0.00 - 2.99,1.91%,18,,Berkeley,2007,Female,"23,096",58.39%,,UC Davis,2014,"1,575","9,413","14,061","20,130",376,"2,550","12,438",774,"4,210","6,196","8,534",150,604,"3,972","3,704","8,380","21,486","16,285","8,134","2,554","1,703","7,756","12,854","1,900",180,47,"27,566","32,973","9,962","14,478"
Berkeley,2016,American Indian,422,77,,Berkeley,1994,3.00 - 3.39,14.01%,479,,Berkeley,2006,Male,"19,732",51.39%,,UC Davis,2013,"1,630","6,699","13,989","19,281",317,"2,449","11,529",809,"3,193","6,518","8,275",128,587,"3,555","2,783","7,322","19,145","15,755","8,163","2,726","1,341","7,058","12,747","1,728",172,19,"25,750","30,138","9,385","13,677"
Berkeley,2016,African American,"4,220",464,,Berkeley,1995,3.00 - 3.39,14.18%,539,,Berkeley,2006,Female,"22,048",50.54%,,UC Davis,2012,"1,317","4,138","13,242","18,310",319,"2,278","10,216",709,"2,146","6,715","8,757",122,584,"3,493","1,403","6,340","17,439","14,420","7,557","2,661",597,"6,156","12,887","2,538",314,34,"23,008","26,810","9,532","12,994"
Berkeley,2015,White,"18,781","3,496",,Berkeley,1996,3.00 - 3.39,13.52%,449,,Berkeley,2005,Male,"17,698",49.09%,,UC Davis,2011,"1,125","2,066","14,010","17,317",303,"2,031","9,363",593,"1,477","6,803","8,782",143,636,"3,869",809,"6,652","16,767","13,153","6,673","2,161",456,"6,249","11,056","3,985",501,56,"21,104","25,108","9,641","12,662"
Berkeley,2015,Other/Unknown,"2,494",658,,Berkeley,1997,3.00 - 3.39,13.09%,334,,Berkeley,2005,Female,"19,288",48.91%,,UC Davis,2010,"2,356","1,634","13,533","15,772",355,"1,917","7,746","1,186",765,"6,437","7,621",173,563,"3,298",485,"5,801","15,118","12,899","6,760","2,250",205,"5,529","10,103","3,540",625,41,"19,786","23,522","8,770","11,273"
Berkeley,2015,International,"15,027","1,409",,Berkeley,1998,3.00 - 3.39,12.16%,248,,Berkeley,2004,Male,"17,489",49.10%,,UC Davis,2009,"2,145","1,351","14,351","15,296",292,"1,682","7,271","1,109",559,"6,874","7,598",137,510,"3,291",440,"5,747","14,791","12,260","6,805","2,345",152,"5,431","10,197","3,563",695,40,"19,112","23,270","8,563","11,513"
Berkeley,2015,Hispanic/Latinx,"13,865","1,870",,Berkeley,1999,3.00 - 3.39,11.45%,215,,Berkeley,2004,Female,"19,319",46.79%,,UC Davis,2008,"2,708","1,148","14,016","14,528",226,"1,602","6,397","1,559",511,"7,477","7,877",97,568,"3,268",591,"4,897","13,273","12,408","6,994","2,462",179,"4,725","10,245","5,054","1,081",73,"18,469","22,146","9,120","12,235"
Berkeley,2015,Asian/Pacific Islander,"24,365","5,383",,Berkeley,2000,3.00 - 3.39,11.49%,133,,Berkeley,2003,Male,"17,722",45.53%,,UC Davis,2007,"2,219",845,"12,372","13,265",223,"1,294","4,929","1,390",403,"7,318","7,917",126,599,"2,845",435,"3,814","11,627","10,822","6,291","2,158",149,"3,701","9,767","5,433","1,369",179,"16,263","18,874","9,020","11,575"
Berkeley,2015,American Indian,417,75,,Berkeley,2001,3.00 - 3.39,11.13%,124,,Berkeley,2003,Female,"19,245",43.78%,,UC Davis,2006,"2,204",691,"11,465","12,742",212,"1,175","4,154","1,562",448,"7,910","8,777",140,580,"2,726",383,"3,470","10,905","10,190","5,672","2,023",227,"3,390","9,759","6,556","1,956",255,"14,868","17,775","9,599","12,544"
Berkeley,2015,African American,"3,944",429,,Berkeley,2002,3.00 - 3.39,11.24%,114,,Berkeley,2002,Male,"17,569",44.60%,,UC Davis,2005,"2,065",633,"11,204","11,172",160,"1,069","3,760","1,343",283,"6,853","7,075",98,471,"2,141",450,"3,233","9,980","9,125","5,419","1,856",182,"3,132","8,618","4,967","1,285",80,"13,687","16,359","7,963","10,297"
Berkeley,2014,White,"17,795","3,179",,Berkeley,2003,3.00 - 3.39,11.66%,102,,Berkeley,2002,Female,"18,822",43.88%,,UC Davis,2004,"2,767",635,"11,815","11,365",203,"1,112","3,859","1,596",241,"6,498","6,414",103,390,"2,109",655,"3,259","10,403","9,661","5,653","2,125",172,"3,149","8,514","4,301","1,108",107,"14,576","17,165","7,575","9,770"
Berkeley,2014,Other/Unknown,"2,066",509,,Berkeley,2004,3.00 - 3.39,10.91%,129,,Berkeley,2001,Male,"17,606",45.01%,,UC Davis,2003,"3,117",518,"12,509","11,135",194,"1,204","3,855","1,725",189,"7,288","6,554",101,477,"2,130",384,"3,217","10,193","9,888","6,318","2,532",140,"3,027","8,546","5,063","1,495",193,"14,660","17,870","8,008","10,456"
Berkeley,2014,International,"13,719","1,509",,Berkeley,2005,3.00 - 3.39,10.36%,92,,Berkeley,2001,Female,"18,569",44.49%,,UC Davis,2002,"2,468",482,"11,014","10,459",180,"1,000","3,178","1,503",123,"7,365","6,605",115,435,"1,961",460,"2,890","9,094","8,631","5,380","2,326",158,"2,738","8,123","5,379","1,523",186,"13,107","15,670","7,982","10,125"
Berkeley,2014,Hispanic/Latinx,"13,122","1,615",,Berkeley,2006,3.00 - 3.39,10.06%,78,,Berkeley,2000,Male,"16,582",44.26%,,UC Davis,2001,"2,514",666,"10,678","9,851",177,935,"3,138","1,567",160,"6,958","6,347",118,446,"1,975",505,"2,763","8,699","8,571","5,270","2,151",174,"2,639","7,739","5,504","1,349",166,"12,645","15,312","7,700","9,871"
Berkeley,2014,Asian/Pacific Islander,"23,099","4,579",,Berkeley,2007,3.00 - 3.39,9.82%,100,,Berkeley,2000,Female,"16,715",44.68%,,UC Davis,2000,"2,330",530,"9,793","8,980",155,893,"2,592","1,428",223,"6,624","5,640",89,410,"1,561",385,"2,781","7,827","7,654","4,815","1,811",117,"2,657","6,824","4,784","1,462",131,"11,738","13,529","7,144","8,830"
Berkeley,2014,American Indian,444,90,,Berkeley,2008,3.00 - 3.39,10.16%,97,,Berkeley,1999,Male,"15,456",45.23%,,UCLA,2019,"3,129","18,652","23,286","34,707",451,"6,308","24,788",560,"1,565","3,266","5,249",95,734,"2,251","7,190","26,930","45,467","20,800","8,090","2,844",807,"9,489","3,057",303,48,16,"50,193","60,345","5,818","7,787"
Berkeley,2014,African American,"3,540",339,,Berkeley,2009,3.00 - 3.39,9.35%,112,,Berkeley,1999,Female,"15,711",44.94%,,UCLA,2018,"3,515","19,419","23,908","34,103",517,"6,658","25,635",731,"2,213","3,908","5,894",111,741,"2,372","7,416","25,228","45,706","22,674","9,385","3,346","1,203","10,230","4,029",390,90,28,"51,264","61,557","6,740","9,040"
Berkeley,2013,White,"16,859","3,256",,Berkeley,2010,3.00 - 3.39,9.54%,92,,Berkeley,1998,Male,"14,709",45.44%,,UCLA,2017,"2,965","17,813","22,578","29,419",514,"5,826","23,111",704,"2,304","4,223","5,851",91,742,"2,541","7,605","21,217","39,904","21,221","9,052","3,227","1,212","10,013","4,651",474,78,28,"46,189","55,285","6,964","9,318"
Berkeley,2013,Other/Unknown,"2,059",497,,Berkeley,2011,3.00 - 3.39,9.02%,116,,Berkeley,1998,Female,"15,330",46.56%,,UCLA,2016,"2,930","17,496","21,861","27,732",492,"5,541","21,060",758,"2,466","4,376","6,149",103,790,"2,831","7,221","18,982","37,506","21,157","9,076","3,170","1,217","10,219","5,377",541,101,18,"44,860","51,751","7,365","9,960"
