,,Ethnicity (Applied),Ethnicity (Applied),Ethnicity (Applied),Ethnicity (Applied),Ethnicity (Applied),Ethnicity (Admitted),Ethnicity (Admitted),Ethnicity (Admitted),Ethnicity (Admitted),Ethnicity (Admitted),Ethnicity (Admitted),Ethnicity (Admitted),Ethnicity (Admitted),Ethnicity (Admitted),GPA (Applied),GPA (Applied),GPA (Applied),GPA (Applied),GPA (Applied),GPA (Applied),GPA (Admitted),GPA (Admitted),GPA (Admitted),GPA (Admitted),GPA (Admitted),GPA (Admitted),Gender (Applied),Gender (Applied),Gender (Admitted),Gender (Admitted)
College,Year,Other/Unknown,International,White,Asian/Pacific Islander,American Indian,African American,Hispanic/Latinx,Other/Unknown,International,White,Asian/Pacific Islander,American Indian,African American,Hispanic/Latinx,Unknown/ Missing,4.20 and Above,3.80 - 4.19,3.40 - 3.79,3.00 - 3.39,0.00 - 2.99,Unknown/ Missing,4.20 and Above,3.80 - 4.19,3.40 - 3.79,3.00 - 3.39,0.00 - 2.99,Male,Female,Male,Female
UC Berkeley,2019,"2,655","17,035","18,013","29,116",338,"4,364","15,877",661,"1,543","3,223","5,978",82,508,"2,282","6,672","24,290","35,933","13,911","4,923","1,669",677,"9,136","4,150",238,58,18,"41,762","44,900","5,879","8,258"
UC Berkeley,2018,"3,046","17,064","18,911","29,170",382,"4,743","16,293",697,"1,453","3,115","5,378",52,523,"2,083","6,673","23,520","36,692","15,246","5,526","1,952",636,"8,616","3,779",206,49,15,"42,623","46,057","5,392","7,716"
UC Berkeley,2017,"2,643","15,434","20,053","26,166",427,"4,439","15,883",706,"1,299","3,947","5,895",92,493,"2,117","6,711","21,604","34,248","15,020","5,599","1,863",666,"9,224","4,307",270,60,22,"40,850","43,447","6,139","8,225"
UC Berkeley,2016,"2,728","15,633","19,905","24,928",422,"4,220","14,724",758,"1,128","3,827","5,787",77,464,"1,934","6,555","20,057","33,364","15,202","5,504","1,878",538,"8,491","4,538",320,71,17,"40,455","41,514","6,049","7,766"
UC Berkeley,2015,"2,494","15,027","18,781","24,365",417,"3,944","13,865",658,"1,409","3,496","5,383",75,429,"1,870","6,669","17,974","31,337","15,182","5,806","1,925",677,"8,328","3,885",330,79,21,"39,121","39,450","6,018","7,238"
UC Berkeley,2014,"2,066","13,719","17,795","23,099",444,"3,540","13,122",509,"1,509","3,179","4,579",90,339,"1,615","5,829","16,360","29,372","14,702","5,682","1,840",677,"7,032","3,591",397,85,38,"36,780","36,733","5,356","6,408"
UC Berkeley,2013,"2,059","11,601","16,859","21,157",328,"3,381","12,321",497,"1,789","3,256","4,537",60,363,"1,428","4,939","14,258","26,661","14,315","5,549","1,984",717,"6,999","3,688",395,93,38,"33,531","33,933","5,552","6,311"
UC Berkeley,2012,"1,708","9,434","15,406","20,555",368,"3,129","11,117",433,"1,262","3,001","4,461",76,365,"1,510","3,435","11,758","25,147","13,807","5,448","2,122",452,"6,304","3,755",444,99,54,"30,663","31,002","5,223","5,875"
UC Berkeley,2011,"1,279","6,330","14,604","18,365",330,"2,647","9,427",369,"1,454","3,299","4,500",77,354,"1,399","2,215","10,169","21,914","12,153","4,777","1,754",413,"5,976","4,384",505,116,58,"25,818","27,139","5,329","6,116"
UC Berkeley,2010,"2,721","4,929","14,170","17,332",352,"2,661","8,209",725,"1,154","3,287","3,995",80,337,"1,217","1,582","9,789","20,740","11,779","4,807","1,677",299,"5,991","3,950",410,92,53,"24,420","25,901","4,898","5,881"
UC Berkeley,2009,"2,670","4,383","14,547","16,697",270,"2,318","7,797",732,760,"3,318","4,036",49,334,"1,299","1,463","9,854","19,753","11,333","4,554","1,725",161,"6,044","3,813",348,112,50,"23,101","25,554","4,730","5,796"
UC Berkeley,2008,"3,267","3,317","15,045","16,702",246,"2,243","7,653",880,750,"3,288","3,895",46,319,"1,227","1,441","9,786","18,867","11,725","4,931","1,723",305,"5,992","3,577",375,97,59,"23,111","25,328","4,703","5,694"
UC Berkeley,2007,"2,805","2,606","14,040","15,996",233,"2,023","6,446",786,322,"3,413","4,103",59,322,"1,247","1,208","8,905","17,686","10,524","4,337","1,489",147,"5,850","3,705",404,100,46,"21,027","23,096","4,579","5,668"
UC Berkeley,2006,"2,862","2,189","13,053","15,660",251,"1,863","5,918",806,284,"3,188","4,080",58,324,"1,201","1,145","8,224","16,584","10,162","4,207","1,474",171,"5,652","3,649",345,78,46,"19,732","22,048","4,403","5,536"
UC Berkeley,2005,"2,671","1,896","12,089","13,607",191,"1,578","4,982",788,276,"3,379","3,888",53,304,"1,141","1,193","7,295","14,344","8,972","3,836","1,374",178,"5,437","3,683",391,92,48,"17,698","19,288","4,371","5,453"
UC Berkeley,2004,"3,284","1,524","11,617","13,813",185,"1,558","4,853",869,193,"3,163","3,584",41,239,966,"1,262","6,624","14,281","9,240","4,020","1,407",194,"4,800","3,532",355,129,45,"17,489","19,319","4,075","4,976"
UC Berkeley,2003,"3,568","1,746","11,651","13,462",198,"1,723","4,653",916,261,"2,853","3,397",51,328,"1,042","1,119","6,561","14,083","9,258","4,319","1,661",149,"4,655","3,541",359,102,42,"17,722","19,245","3,881","4,964"
UC Berkeley,2002,"3,165","1,635","11,835","13,770",200,"1,558","4,282",823,183,"2,900","3,396",46,331,"1,029","1,214","6,642","13,803","8,966","4,098","1,722",223,"4,432","3,462",438,114,39,"17,569","18,822","3,879","4,816"
UC Berkeley,2001,"3,467","2,039","11,515","13,551",207,"1,458","3,990",974,182,"2,994","3,452",57,341,"1,028","1,808","6,328","13,509","8,885","4,036","1,661",410,"4,241","3,567",653,124,33,"17,606","18,569","3,946","5,070"
UC Berkeley,2000,"3,268","1,695","10,989","12,469",173,"1,318","3,439",987,228,"3,015","3,361",48,353,914,"1,350","6,253","12,340","8,183","3,837","1,388",352,"4,252","3,501",645,133,23,"16,582","16,715","4,045","4,842"
UC Davis,2019,"1,959","16,522","14,360","24,024",277,"3,425","17,526",842,"6,888","6,225","9,717",120,962,"5,604","5,347","13,561","30,166","18,229","8,155","2,635","2,337","11,753","14,330","1,685",199,54,"35,351","42,324","11,992","18,228"
UC Davis,2018,"2,208","15,507","14,797","23,902",334,"3,535","17,741",966,"8,646","6,335","9,378",134,971,"5,616","5,224","12,368","29,304","19,031","9,094","3,003","2,984","10,981","15,093","2,616",318,54,"34,842","42,660","12,413","19,437"
UC Davis,2017,"1,824","13,926","14,399","21,262",332,"3,240","15,972",863,"8,295","6,417","8,915",143,895,"5,234","5,654","10,654","25,643","17,667","8,449","2,888","3,329","9,623","14,484","2,925",349,52,"31,933","38,652","12,356","18,268"
UC Davis,2016,"1,865","13,536","14,295","20,503",313,"3,162","14,876",911,"6,680","6,647","8,847",133,861,"4,902","5,165","9,949","24,508","17,614","8,523","2,791","2,630","9,020","14,199","2,718",351,63,"31,184","37,234","11,320","17,618"
UC Davis,2015,"1,880","11,240","14,005","20,666",319,"2,817","13,675",764,"5,666","5,632","7,864",123,657,"3,812","4,561","9,118","22,912","16,955","8,329","2,727","2,432","8,083","11,810","1,924",227,42,"29,564","35,031","9,838","14,678"
UC Davis,2014,"1,575","9,413","14,061","20,130",376,"2,550","12,438",774,"4,210","6,196","8,534",150,604,"3,972","3,704","8,380","21,486","16,285","8,134","2,554","1,703","7,756","12,854","1,900",180,47,"27,566","32,973","9,962","14,478"
UC Davis,2013,"1,630","6,699","13,989","19,281",317,"2,449","11,529",809,"3,193","6,518","8,275",128,587,"3,555","2,783","7,322","19,145","15,755","8,163","2,726","1,341","7,058","12,747","1,728",172,19,"25,750","30,138","9,385","13,677"
UC Davis,2012,"1,317","4,138","13,242","18,310",319,"2,278","10,216",709,"2,146","6,715","8,757",122,584,"3,493","1,403","6,340","17,439","14,420","7,557","2,661",597,"6,156","12,887","2,538",314,34,"23,008","26,810","9,532","12,994"
UC Davis,2011,"1,125","2,066","14,010","17,317",303,"2,031","9,363",593,"1,477","6,803","8,782",143,636,"3,869",809,"6,652","16,767","13,153","6,673","2,161",456,"6,249","11,056","3,985",501,56,"21,104","25,108","9,641","12,662"
UC Davis,2010,"2,356","1,634","13,533","15,772",355,"1,917","7,746","1,186",765,"6,437","7,621",173,563,"3,298",485,"5,801","15,118","12,899","6,760","2,250",205,"5,529","10,103","3,540",625,41,"19,786","23,522","8,770","11,273"
UC Davis,2009,"2,145","1,351","14,351","15,296",292,"1,682","7,271","1,109",559,"6,874","7,598",137,510,"3,291",440,"5,747","14,791","12,260","6,805","2,345",152,"5,431","10,197","3,563",695,40,"19,112","23,270","8,563","11,513"
UC Davis,2008,"2,708","1,148","14,016","14,528",226,"1,602","6,397","1,559",511,"7,477","7,877",97,568,"3,268",591,"4,897","13,273","12,408","6,994","2,462",179,"4,725","10,245","5,054","1,081",73,"18,469","22,146","9,120","12,235"
UC Davis,2007,"2,219",845,"12,372","13,265",223,"1,294","4,929","1,390",403,"7,318","7,917",126,599,"2,845",435,"3,814","11,627","10,822","6,291","2,158",149,"3,701","9,767","5,433","1,369",179,"16,263","18,874","9,020","11,575"
UC Davis,2006,"2,204",691,"11,465","12,742",212,"1,175","4,154","1,562",448,"7,910","8,777",140,580,"2,726",383,"3,470","10,905","10,190","5,672","2,023",227,"3,390","9,759","6,556","1,956",255,"14,868","17,775","9,599","12,544"
UC Davis,2005,"2,065",633,"11,204","11,172",160,"1,069","3,760","1,343",283,"6,853","7,075",98,471,"2,141",450,"3,233","9,980","9,125","5,419","1,856",182,"3,132","8,618","4,967","1,285",80,"13,687","16,359","7,963","10,297"
UC Davis,2004,"2,767",635,"11,815","11,365",203,"1,112","3,859","1,596",241,"6,498","6,414",103,390,"2,109",655,"3,259","10,403","9,661","5,653","2,125",172,"3,149","8,514","4,301","1,108",107,"14,576","17,165","7,575","9,770"
UC Davis,2003,"3,117",518,"12,509","11,135",194,"1,204","3,855","1,725",189,"7,288","6,554",101,477,"2,130",384,"3,217","10,193","9,888","6,318","2,532",140,"3,027","8,546","5,063","1,495",193,"14,660","17,870","8,008","10,456"
UC Davis,2002,"2,468",482,"11,014","10,459",180,"1,000","3,178","1,503",123,"7,365","6,605",115,435,"1,961",460,"2,890","9,094","8,631","5,380","2,326",158,"2,738","8,123","5,379","1,523",186,"13,107","15,670","7,982","10,125"
UC Davis,2001,"2,514",666,"10,678","9,851",177,935,"3,138","1,567",160,"6,958","6,347",118,446,"1,975",505,"2,763","8,699","8,571","5,270","2,151",174,"2,639","7,739","5,504","1,349",166,"12,645","15,312","7,700","9,871"
UC Davis,2000,"2,330",530,"9,793","8,980",155,893,"2,592","1,428",223,"6,624","5,640",89,410,"1,561",385,"2,781","7,827","7,654","4,815","1,811",117,"2,657","6,824","4,784","1,462",131,"11,738","13,529","7,144","8,830"
UCLA,2019,"3,129","18,652","23,286","34,707",451,"6,308","24,788",560,"1,565","3,266","5,249",95,734,"2,251","7,190","26,930","45,467","20,800","8,090","2,844",807,"9,489","3,057",303,48,16,"50,193","60,345","5,818","7,787"
UCLA,2018,"3,515","19,419","23,908","34,103",517,"6,658","25,635",731,"2,213","3,908","5,894",111,741,"2,372","7,416","25,228","45,706","22,674","9,385","3,346","1,203","10,230","4,029",390,90,28,"51,264","61,557","6,740","9,040"
UCLA,2017,"2,965","17,813","22,578","29,419",514,"5,826","23,111",704,"2,304","4,223","5,851",91,742,"2,541","7,605","21,217","39,904","21,221","9,052","3,227","1,212","10,013","4,651",474,78,28,"46,189","55,285","6,964","9,318"
UCLA,2016,"2,930","17,496","21,861","27,732",492,"5,541","21,060",758,"2,466","4,376","6,149",103,790,"2,831","7,221","18,982","37,506","21,157","9,076","3,170","1,217","10,219","5,377",541,101,18,"44,860","51,751","7,365","9,960"
UCLA,2015,"2,788","16,387","21,023","27,161",478,"5,284","19,569",698,"2,365","4,046","5,772",85,638,"2,412","7,254","17,324","35,096","20,688","9,055","3,273","1,247","9,243","4,825",566,105,30,"43,035","49,354","7,089","8,876"
UCLA,2014,"2,229","15,003","19,927","25,805",506,"4,657","18,410",594,"2,553","4,194","5,685",85,592,"2,356","6,404","15,684","32,719","19,989","8,661","3,080","1,215","8,741","5,279",684,117,23,"40,433","45,860","7,080","8,911"
UCLA,2013,"2,266","12,899","18,673","24,138",428,"4,395","17,706",647,"2,628","4,330","5,853",80,581,"2,329","5,400","13,959","29,908","19,279","8,712","3,247","1,200","8,577","5,743",762,129,37,"37,435","42,858","7,354","9,038"
UCLA,2012,"1,815","9,877","17,070","23,666",420,"4,080","15,748",462,"3,141","3,906","5,685",91,500,"2,196","3,554","11,572","27,771","18,230","8,368","3,181","1,098","7,477","6,029","1,080",219,78,"33,645","39,013","7,174","8,804"
UCLA,2011,"1,423","5,826","16,052","21,181",361,"3,323","13,390",481,"2,347","4,302","5,954",83,464,"2,058","2,128","10,121","23,808","15,886","7,024","2,589",760,"7,409","6,208","1,005",216,91,"28,281","33,260","7,303","8,386"
UCLA,2010,"2,967","4,182","15,493","19,978",392,"3,218","11,428",785,"1,263","3,756","5,051",80,436,"1,716","1,329","9,560","22,569","14,923","6,820","2,457",363,"6,852","5,020",636,151,65,"26,418","31,221","5,995","7,088"
UCLA,2009,"2,848","3,531","15,911","19,648",316,"2,763","10,677",769,648,"3,730","4,893",57,416,"1,665","1,202","9,390","21,557","14,468","6,529","2,548",223,"6,720","4,501",529,150,55,"25,438","30,246","5,493","6,684"
UCLA,2008,"3,567","2,733","16,413","19,301",297,"2,826","10,286","1,036",615,"3,999","4,831",43,452,"1,683","1,296","9,168","20,530","14,829","7,007","2,593",238,"6,744","4,845",601,157,74,"24,994","30,417","5,573","7,085"
UCLA,2007,"3,069","2,046","15,459","18,668",258,"2,460","8,786",862,317,"3,860","4,991",45,407,"1,478","1,022","8,388","19,073","13,484","6,498","2,281",183,"5,922","4,956",692,165,42,"22,658","28,075","5,507","6,452"
UCLA,2006,"3,029","1,692","14,473","18,026",274,"2,176","7,647",930,351,"3,792","5,413",51,250,"1,401",908,"7,757","17,828","12,780","5,947","2,097",142,"5,534","5,565",806,90,51,"21,300","26,012","5,361","6,827"
UCLA,2005,"2,850","1,431","13,390","15,675",213,"1,846","6,818",911,281,"3,725","4,711",44,280,"1,409",992,"7,030","15,776","11,221","5,289","1,915",166,"4,949","5,219",902,77,48,"19,028","23,184","4,861","6,499"
UCLA,2004,"3,730","1,265","13,579","15,837",232,"1,954","6,863",933,262,"3,238","4,074",33,234,"1,175","1,141","6,609","15,995","11,840","5,768","2,107",131,"4,171","4,653",842,108,44,"19,666","23,782","4,463","5,485"
UCLA,2003,"4,213","1,244","14,321","15,953",230,"2,110","6,910","1,049",232,"3,320","4,312",35,293,"1,336",833,"6,686","16,267","12,444","6,348","2,403",120,"4,218","5,103",980,113,43,"20,190","24,774","4,589","5,988"
UCLA,2002,"3,569","1,295","14,313","15,704",230,"1,931","6,393",921,196,"3,302","4,310",40,354,"1,330",964,"6,449","15,509","11,883","6,095","2,535",128,"4,107","4,973","1,028",150,67,"19,497","23,918","4,524","5,929"
UCLA,2001,"3,746","1,573","13,108","14,850",209,"1,712","5,546","1,135",224,"3,549","4,376",48,341,"1,284","1,193","5,920","14,385","11,224","5,710","2,312",159,"4,229","5,249","1,106",158,56,"18,564","22,163","4,657","6,299"
UCLA,2000,"3,402","1,292","12,399","14,119",197,"1,624","4,770","1,084",205,"3,676","4,408",49,342,"1,179",914,"5,905","13,166","10,421","5,373","2,024",148,"4,425","5,070","1,057",182,61,"17,582","20,200","4,962","5,978"
