College,Year,Other/Unknown Applied,International Applied,White Applied,Asian/Pacific Islander Applied,American Indian Applied,African American Applied,Hispanic/Latinx Applied,Other/Unknown Admitted,International Admitted,White,Asian/Pacific Islander Admitted,American Indian Admitted,African American Admitted,Hispanic/Latinx Admitted,Unknown/Missing Admitted,4.20 and Above,3.80 - 4.19 Applied,3.40 - 3.79 Applied,3.00 - 3.39 Applied,0.00 - 2.99 Applied,Unknown/ Missing Admitted,4.20 and Above Admitted,3.80 - 4.19 Admitted,3.40 - 3.79 Admitted,3.00 - 3.39 Admitted,0.00 - 2.99 Admitted,Male Applied,Female Applied,Male Admitted,Female Admitted
UCSC,2019,"1,390","7,762","12,181","15,279",237,"2,598","16,418",764,"5,647","7,424","8,206",132,948,"5,507","2,160","6,799","19,073","15,901","8,917","3,015","1,556","5,799","13,661","6,339","1,171",102,"24,759","30,768","12,668","15,804"
UCSC,2018,"1,622","7,027","12,468","15,242",285,"2,683","17,298",900,"5,209","6,938","7,992",152,964,"4,648","2,114","5,916","18,283","16,546","10,099","3,667","1,592","5,423","12,866","5,527","1,259",136,"24,673","31,520","11,867","14,749"
UCSC,2017,"1,363","6,558","12,061","13,548",307,"2,562","16,570",775,"4,778","7,418","7,814",169,"1,024","5,005","2,479","4,805","16,089","15,968","10,025","3,603","1,801","4,453","12,182","7,001","1,430",116,"23,124","29,510","11,958","14,870"
UCSC,2016,"1,332","5,623","11,941","12,715",292,"2,399","14,878",897,"3,591","8,507","8,437",198,997,"5,824","2,057","4,244","14,473","15,229","9,633","3,544","1,272","4,008","12,311","9,047","1,748",65,"21,738","27,282","12,472","15,904"
UCSC,2015,"1,351","4,597","11,350","12,069",309,"2,144","13,712",757,"3,149","6,859","6,632",189,670,"4,641","1,836","3,510","12,754","14,261","9,547","3,624","1,243","3,339","10,556","6,667",974,118,"20,009","25,434","9,824","13,042"
UCSC,2014,"1,078","3,681","10,588","11,144",299,"1,956","11,981",673,"2,444","6,881","6,387",179,781,"5,350","1,483","2,862","11,316","12,956","8,847","3,263",963,"2,782","10,086","6,887","1,721",256,"18,124","22,535","9,795","12,873"
UCSC,2013,"1,103","2,498","10,787","10,651",264,"1,884","11,449",683,"1,485","6,492","5,731",121,705,"4,612","1,160","2,565","10,199","12,430","8,865","3,417",707,"2,503","9,048","5,908","1,505",158,"16,921","21,653","8,347","11,464"
UCSC,2012,884,"1,514","10,432","9,437",273,"1,574","9,023",572,604,"6,752","5,806",166,726,"5,225",631,"1,953","8,834","10,954","7,735","3,030",179,"1,920","8,285","7,280","2,111",76,"14,649","18,478","8,049","11,796"
UCSC,2011,710,757,"9,823","8,056",239,"1,325","7,320",508,377,"7,219","5,548",160,606,"4,578",406,"1,445","7,606","9,736","6,563","2,474",186,"1,406","7,312","7,878","2,124",90,"12,451","15,774","8,079","10,916"
UCSC,2010,"1,600",611,"10,135","7,867",286,"1,152","5,994","1,071",267,"6,978","5,174",178,473,"3,502",267,"1,484","7,294","9,569","6,628","2,403",108,"1,453","6,972","7,193","1,839",78,"12,364","15,268","7,642","9,997"
UCSC,2009,"1,641",540,"11,079","7,264",216,"1,015","5,492","1,205",230,"7,450","4,604",151,420,"3,256",272,"1,438","7,182","9,138","6,643","2,574",102,"1,386","6,830","6,834","2,000",164,"11,942","15,301","7,234","10,081"
UCSC,2008,"1,924",544,"11,569","7,358",185,"1,022","5,231","1,468",225,"8,740","5,248",121,547,"3,606",357,"1,530","7,035","9,412","6,815","2,684",123,"1,488","6,742","8,033","3,273",296,"12,399","15,431","8,530","11,425"
UCSC,2007,"1,619",441,"10,521","6,735",166,796,"4,184","1,340",250,"8,881","5,442",119,517,"3,297",324,"1,379","6,296","8,199","6,039","2,225",147,"1,338","6,161","7,666","4,165",369,"10,912","13,545","8,588","11,255"
UCSC,2006,"1,773",407,"10,452","6,997",175,764,"3,974","1,442",219,"8,618","5,607",129,468,"3,029",297,"1,386","6,508","8,201","5,768","2,382",116,"1,328","6,236","7,557","3,994",281,"10,906","13,631","8,370","11,141"
UCSC,2005,"1,724",327,"10,147","6,438",169,676,"3,546","1,359",175,"7,908","4,767",108,355,"2,431",353,"1,355","5,991","7,610","5,447","2,271",140,"1,268","5,583","6,620","3,174",318,"10,061","12,960","7,087","10,014"
UCSC,2004,"2,348",351,"10,710","6,588",178,871,"4,004","1,609",138,"7,312","4,114",100,357,"2,408",451,"1,289","6,044","8,551","6,264","2,451",125,"1,221","5,659","6,361","2,467",205,"10,826","14,213","6,656","9,378"
UCSC,2003,"2,333",212,"9,277","5,552",148,763,"3,515","1,866",75,"7,974","4,206",113,432,"2,544",275,"1,066","5,015","6,871","5,789","2,784",124,"1,041","4,861","6,432","4,268",484,"9,631","12,149","7,429","9,776"
UCSC,2002,"2,282",256,"10,901","6,221",182,858,"3,609","1,916",98,"9,642","4,943",154,559,"2,772",381,"1,127","5,601","8,086","6,374","2,740",194,"1,110","5,435","7,665","5,126",554,"10,431","13,865","8,404","11,675"
UCSC,2001,"2,278",398,"9,993","5,523",172,780,"3,360","1,964",187,"8,783","4,454",139,506,"2,661",410,"1,195","5,338","7,750","5,345","2,466",199,"1,165","5,234","7,436","4,188",472,"9,543","12,947","7,769","10,919"
UCSC,2000,"2,106",203,"8,740","4,842",154,619,"2,678","1,774",78,"7,631","3,904",126,430,"2,140",279,941,"4,555","6,834","4,795","1,938",156,932,"4,478","6,591","3,679",247,"8,396","10,932","6,722","9,357"
UCSB,2019,"2,435","17,078","21,185","25,895",375,"4,148","22,330",880,"5,866","6,220","8,378",132,897,"5,253","5,661","16,892","36,504","21,955","9,547","2,887","2,146","12,391","11,583","1,374",111,21,"41,459","51,551","11,585","15,911"
UCSB,2018,"2,671","16,051","21,340","24,846",447,"4,168","22,783","1,043","5,472","7,409","9,014",172,997,"5,617","5,467","14,575","34,990","22,871","10,843","3,560","1,934","11,609","14,192","1,839",121,29,"41,037","50,738","12,218","17,338"
UCSB,2017,"2,234","14,541","20,075","20,636",448,"3,658","20,232",922,"4,503","7,108","7,974",190,"1,049","5,099","6,114","11,455","29,161","21,212","10,446","3,436","1,993","9,393","13,142","2,150",148,19,"36,925","44,490","10,907","15,823"
UCSB,2016,"2,198","13,267","19,239","19,503",426,"3,559","18,915",956,"4,194","7,909","8,418",177,927,"5,000","5,303","9,778","26,654","21,207","10,615","3,550","1,769","8,302","14,298","3,012",168,32,"35,744","41,363","11,384","16,197"
UCSB,2015,"2,062","10,913","18,023","18,298",462,"3,360","17,418",840,"2,724","6,710","7,273",183,771,"4,525","4,675","8,078","23,534","19,763","10,712","3,774","1,654","7,072","11,535","2,561",166,38,"32,870","37,662","9,858","13,168"
UCSB,2014,"1,690","9,312","18,127","17,467",454,"3,109","16,657",766,"2,833","7,454","7,416",188,790,"4,837","3,830","7,327","22,086","19,424","10,639","3,510","1,272","6,672","12,873","3,217",218,32,"30,813","36,003","10,397","13,887"
UCSB,2013,"1,762","6,696","17,955","16,240",384,"3,065","16,323",886,"2,304","8,468","7,355",175,841,"4,783","2,945","6,390","19,652","18,725","10,856","3,857","1,141","6,119","13,386","3,877",247,42,"28,499","33,926","11,257","13,555"
UCSB,2012,"1,521","4,121","17,079","15,146",400,"3,012","13,979",767,"2,164","8,559","7,358",200,846,"4,662","1,545","5,101","17,995","17,025","9,923","3,669",773,"4,899","13,384","5,044",394,62,"24,894","30,349","10,847","13,706"
UCSB,2011,"1,218","1,999","17,062","13,676",393,"2,579","12,737",634,"1,123","8,808","6,734",196,780,"4,723",891,"5,132","16,574","15,494","8,616","2,957",434,"4,991","12,416","4,636",459,62,"22,104","27,540","10,070","12,925"
UCSB,2010,"2,558","1,403","16,448","12,760",418,"2,360","10,780","1,244",579,"8,380","5,962",186,657,"4,241",493,"4,689","15,404","14,868","8,418","2,855",222,"4,556","12,051","4,073",305,42,"20,711","26,005","9,211","12,034"
UCSB,2009,"2,276","1,177","17,241","11,854",332,"2,182","9,674","1,168",492,"8,741","5,891",168,711,"4,368",503,"3,946","14,230","14,533","8,451","3,073",206,"3,820","11,378","5,233",829,73,"19,611","25,118","9,142","12,397"
UCSB,2008,"3,059","1,101","18,573","12,357",287,"2,188","9,511","1,671",401,"9,530","6,210",126,762,"4,486",597,"4,745","14,519","15,071","8,989","3,155",193,"4,639","11,992","5,454",847,61,"20,533","26,537","9,760","13,425"
UCSB,2007,"2,569",822,"17,198","11,223",291,"1,353","7,481","1,501",339,"9,904","5,980",149,557,"3,841",497,"3,876","12,882","13,133","7,954","2,595",203,"3,773","11,269","5,924","1,049",53,"17,955","22,975","9,497","12,772"
UCSB,2006,"2,637",725,"16,848","11,210",275,"1,311","6,851","1,525",302,"9,385","5,831",152,489,"3,598",469,"3,697","12,625","12,968","7,449","2,649",192,"3,555","10,643","5,698","1,096",98,"17,195","22,659","8,835","12,446"
UCSB,2005,"2,576",664,"16,381","10,322",232,"1,233","6,114","1,440",262,"9,015","5,336",116,486,"3,166",556,"3,535","12,006","11,871","6,994","2,560",216,"3,407","10,188","4,995",929,86,"16,308","21,199","8,213","11,605"
UCSB,2004,"3,384",573,"15,810","9,774",242,"1,248","5,943","1,860",239,"8,794","4,989",108,458,"3,140",607,"3,187","11,410","11,943","7,143","2,684",177,"3,087","9,890","5,365",970,99,"16,032","20,933","7,977","11,608"
UCSB,2003,"3,739",431,"16,333","9,575",238,"1,268","6,000","1,905",161,"8,652","4,627",119,469,"2,842",418,"2,886","11,007","12,126","7,914","3,233",174,"2,720","8,776","5,611","1,364",130,"16,368","21,199","7,749","11,024"
UCSB,2002,"3,242",668,"15,246","8,615",228,"1,105","4,919","1,509",152,"8,340","4,552",123,460,"2,560",487,"2,718","10,116","11,039","7,274","3,060",204,"2,580","8,167","5,385","1,230",130,"14,883","19,800","7,292","10,401"
UCSB,2001,"3,242",668,"15,246","8,615",228,"1,105","4,919","1,726",215,"7,898","4,236",114,442,"2,387",573,"2,571","9,649","10,948","7,240","3,042",224,"2,472","8,014","5,060","1,135",113,"14,711","19,299","7,170","9,848"
UCSB,2000,"3,010",472,"14,625","7,766",213,949,"4,194","1,488",146,"7,098","3,533",96,362,"1,960",421,"2,533","8,577","10,061","6,975","2,662",157,"2,424","6,794","4,250",987,71,"13,752","17,461","6,282","8,399"
UCSD,2019,"2,555","19,858","19,210","31,299",349,"4,554","21,299","1,033","5,659","6,677","11,169",112,994,"5,556","6,817","20,329","38,963","21,228","8,826","2,961","2,216","14,359","12,719","1,816",68,22,"45,338","53,784","14,326","16,874"
UCSD,2018,"2,859","19,749","19,098","30,638",412,"4,327","20,815","1,021","5,687","6,345","10,294",108,784,"5,189","7,053","18,559","37,612","21,789","9,573","3,312","1,972","12,985","12,886","1,494",73,18,"44,685","53,213","13,337","16,091"
UCSD,2017,"2,368","17,912","18,033","26,960",382,"3,989","18,804","1,030","5,759","6,650","10,758",127,782,"4,955","7,406","15,776","32,771","20,087","9,261","3,147","2,515","13,290","12,692","1,456",81,27,"40,784","47,664","13,607","16,454"
UCSD,2016,"2,399","17,346","17,599","25,710",375,"3,672","17,105","1,081","5,623","6,737","10,766",120,758,"4,943","6,814","14,281","30,912","20,003","9,046","3,150","2,348","12,378","13,458","1,691",130,23,"39,418","44,788","13,735","16,293"
UCSD,2015,"2,298","14,697","16,634","25,123",385,"3,363","15,561",978,"5,697","6,036","9,678",108,543,"3,295","6,209","13,069","28,059","18,945","8,799","2,980","2,586","11,526","10,866","1,226",105,26,"36,844","41,217","12,570","13,765"
UCSD,2014,"1,841","12,807","16,348","24,474",425,"2,986","14,567",774,"5,012","5,480","9,119",102,463,"3,499","5,207","11,997","26,549","18,279","8,621","2,795","2,208","10,573","10,268","1,283",93,24,"34,490","38,958","11,608","12,841"
UCSD,2013,"1,949","9,855","15,607","22,953",357,"2,964","13,706",859,"4,123","6,397","9,354",121,551,"3,257","4,101","10,623","23,791","17,414","8,405","3,057","1,746","9,917","11,128","1,741",110,20,"31,875","35,516","11,701","12,961"
UCSD,2012,"1,547","6,782","14,429","22,659",374,"2,768","12,273",698,"3,536","5,794","9,339",119,493,"2,833","2,371","9,091","22,009","16,342","7,999","3,020","1,209","8,382","10,627","2,276",238,80,"28,725","32,107","10,815","11,997"
UCSD,2011,"1,231","3,788","14,297","20,970",322,"2,158","10,683",456,"2,094","5,004","7,804",80,392,"3,064","1,390","8,253","19,884","14,709","6,934","2,279",693,"7,327","8,769","1,886",165,54,"25,071","28,378","8,655","10,239"
UCSD,2010,"2,478","2,660","13,262","19,235",321,"1,937","8,205","1,019","1,235","4,759","8,228",106,374,"2,500",796,"7,469","18,219","13,469","6,098","2,047",309,"6,727","9,261","1,794",97,33,"22,296","25,802","8,284","9,937"
UCSD,2009,"2,395","2,299","13,886","18,834",255,"1,617","7,774","1,022",662,"4,822","7,839",60,311,"2,326",750,"7,360","17,793","13,012","6,136","2,009",196,"6,515","8,646","1,517",153,15,"21,714","25,346","7,522","9,520"
UCSD,2008,"3,123","1,802","14,598","18,382",242,"1,639","7,599","1,418",605,"5,706","8,219",67,327,"2,555",790,"7,160","16,990","13,633","6,573","2,239",180,"6,634","9,765","2,120",180,18,"21,590","25,795","8,157","10,740"
UCSD,2007,"2,737","1,392","14,542","18,159",245,"1,465","6,548","1,281",475,"6,008","8,418",85,385,"2,395",673,"6,776","16,543","12,731","6,359","2,006",203,"6,360","10,030","2,228",213,13,"20,560","24,528","8,350","10,697"
UCSD,2006,"2,811","1,171","14,291","17,548",266,"1,412","6,092","1,405",439,"6,554","8,690",103,353,"2,319",634,"6,619","15,906","12,345","6,018","2,069",166,"6,238","10,536","2,711",197,15,"19,822","23,769","8,569","11,294"
UCSD,2005,"2,673","1,002","14,207","15,515",219,"1,251","5,667","1,232",327,"5,990","7,222",79,328,"2,078",681,"6,161","14,769","11,350","5,608","1,965",168,"5,733","9,103","2,086",163,3,"18,143","22,391","7,310","9,946"
UCSD,2004,"3,668",905,"14,425","15,265",251,"1,329","5,681","1,536",246,"5,612","6,555",77,282,"1,971",811,"5,965","14,787","11,909","5,958","2,094",116,"5,428","8,613","1,967",149,6,"18,882","22,642","6,903","9,376"
UCSD,2003,"4,239",760,"15,497","15,383",218,"1,515","5,831","1,637",110,"5,835","6,267",65,319,"1,943",571,"5,978","15,146","12,559","6,668","2,521",101,"5,371","8,520","2,012",167,5,"19,542","23,901","6,888","9,288"
UCSD,2002,"3,490",730,"15,412","14,857",248,"1,351","5,258","1,492",172,"6,222","6,689",84,333,"1,968",663,"5,710","14,225","11,898","6,350","2,500",179,"5,000","8,905","2,656",211,9,"18,499","22,847","7,335","9,625"
UCSD,2001,"3,558",919,"14,108","13,542",208,"1,194","4,659","1,751",222,"6,128","6,498",55,243,"1,493",776,"5,170","12,941","11,088","5,861","2,352",175,"4,828","9,041","2,247",96,3,"17,148","21,040","7,167","9,223"
UCSD,2000,"3,446",673,"13,614","12,616",189,"1,094","4,061","1,450",130,"5,173","5,344",59,209,"1,281",552,"5,090","12,002","10,400","5,640","2,009",103,"4,653","7,193","1,633",63,1,"16,332","19,361","6,093","7,553"